  14.3775,    1.748, 12 June 2018, 11:41:00
  14.1697,    2.041, 12 June 2018, 11:41:30
  14.0459,    5.425, 12 June 2018, 11:42:01
  12.5034,    9.004, 12 June 2018, 11:42:32
  11.0006,   12.080, 12 June 2018, 11:43:03
  10.0228,   15.375, 12 June 2018, 11:43:34
   9.4453,   19.435, 12 June 2018, 11:44:05
   9.1081,   23.095, 12 June 2018, 11:44:35
   8.8860,   26.406, 12 June 2018, 11:45:06
   8.8435,   28.125, 12 June 2018, 11:45:37
   8.8671,   27.323, 12 June 2018, 11:46:08
   8.9120,   26.960, 12 June 2018, 11:46:39
   8.9053,   26.285, 12 June 2018, 11:47:10
   8.8841,   26.197, 12 June 2018, 11:47:40
   8.8807,   26.145, 12 June 2018, 11:48:11
   8.8858,   26.145, 12 June 2018, 11:48:42
   8.8938,   26.240, 12 June 2018, 11:49:13
   8.9585,   26.135, 12 June 2018, 11:49:44
   8.9814,   26.422, 12 June 2018, 11:50:15
   9.0377,   26.698, 12 June 2018, 11:50:46
   9.1360,   26.853, 12 June 2018, 11:51:16
   9.1461,   26.986, 12 June 2018, 11:51:47
   9.0766,   27.016, 12 June 2018, 11:52:18
   8.9751,   27.139, 12 June 2018, 11:52:49
   8.9167,   26.535, 12 June 2018, 11:53:20
   8.8944,   26.436, 12 June 2018, 11:53:51
   8.8900,   26.617, 12 June 2018, 11:54:21
   8.8878,   26.296, 12 June 2018, 11:54:52
   8.8871,   26.515, 12 June 2018, 11:55:23
   8.8851,   26.299, 12 June 2018, 11:55:54
   8.8836,   26.311, 12 June 2018, 11:56:25
   8.8839,   26.360, 12 June 2018, 11:56:56
   8.8864,   26.372, 12 June 2018, 11:57:27
   8.8897,   26.238, 12 June 2018, 11:57:57
   8.8908,   26.107, 12 June 2018, 11:58:28
   8.8913,   25.879, 12 June 2018, 11:58:59
   8.8918,   25.867, 12 June 2018, 11:59:30
   8.8900,   25.974, 12 June 2018, 12:00:01
   8.8913,   25.853, 12 June 2018, 12:00:32
   8.8920,   25.952, 12 June 2018, 12:01:02
   8.8920,   25.694, 12 June 2018, 12:01:33
   8.9005,   25.729, 12 June 2018, 12:02:04
   8.9052,   25.835, 12 June 2018, 12:02:35
   8.9048,   25.831, 12 June 2018, 12:03:06
   8.9022,   25.861, 12 June 2018, 12:03:37
   8.8938,   26.036, 12 June 2018, 12:04:07
   8.8909,   25.796, 12 June 2018, 12:04:38
   8.8898,   25.891, 12 June 2018, 12:05:09
   8.8905,   25.968, 12 June 2018, 12:05:40
   8.8909,   25.986, 12 June 2018, 12:06:11
   8.8918,   25.885, 12 June 2018, 12:06:41
   8.8918,   25.850, 12 June 2018, 12:07:12
   8.8913,   26.140, 12 June 2018, 12:07:43
   8.8902,   26.030, 12 June 2018, 12:08:14
   8.8899,   25.995, 12 June 2018, 12:08:45
   8.8883,   25.996, 12 June 2018, 12:09:15
   8.8867,   26.130, 12 June 2018, 12:09:46
   8.8885,   26.157, 12 June 2018, 12:10:17
   8.8858,   26.314, 12 June 2018, 12:10:48
   8.8885,   26.563, 12 June 2018, 12:11:19
   8.8906,   26.324, 12 June 2018, 12:11:50
   8.8890,   26.518, 12 June 2018, 12:12:20
   8.8866,   26.226, 12 June 2018, 12:12:51
   8.8882,   25.943, 12 June 2018, 12:13:22
   8.8853,   25.901, 12 June 2018, 12:13:53
   8.8882,   26.076, 12 June 2018, 12:14:24
   8.8886,   25.794, 12 June 2018, 12:14:55
