9.2249,28.793,0.0450,8:30:4
9.2947,27.454,0.0451,8:30:9
9.3812,26.278,0.0451,8:30:13
9.4845,24.980,0.0452,8:30:17
9.6028,23.556,0.0452,8:30:21
9.7683,22.054,0.0453,8:30:25
10.0699,20.480,0.0456,8:30:29
10.3061,18.882,0.0456,8:30:33
10.8519,17.281,0.0459,8:30:37
11.3834,15.666,0.0460,8:30:41
12.5545,14.106,0.0470,8:30:45
14.1154,13.037,0.0477,8:30:49
14.6933,12.003,0.0485,8:30:53
16.2221,10.956,0.0502,8:30:57
17.0099,9.894,0.0507,8:31:1
17.9878,9.012,0.0517,8:34:12
17.9500,9.009,0.0516,8:34:16
18.3063,10.752,0.0516,8:34:32
18.3176,11.867,0.0516,8:34:37
18.2994,12.775,0.0515,8:34:41
18.1568,13.667,0.0513,8:34:45
16.7441,14.465,0.0499,8:34:49
14.8417,15.253,0.0483,8:34:53
14.1134,16.086,0.0479,8:34:57
13.5717,16.866,0.0475,8:35:1
12.8215,17.659,0.0470,8:35:5
11.8679,18.446,0.0465,8:35:9
11.7686,19.235,0.0464,8:35:14
11.5824,20.026,0.0463,8:35:18
11.1990,20.817,0.0461,8:35:22
10.8138,21.607,0.0459,8:35:26
10.6349,22.389,0.0458,8:35:30
10.3538,23.175,0.0457,8:35:34
10.2348,23.951,0.0456,8:35:38
9.9326,24.736,0.0455,8:35:42
9.7621,25.516,0.0453,8:35:46
9.7203,26.279,0.0453,8:35:50
9.6023,27.051,0.0452,8:35:54
9.5132,27.807,0.0452,8:35:58
9.4315,28.573,0.0451,8:36:2
9.3330,29.336,0.0451,8:36:6
9.2290,30.065,0.0451,8:36:10
9.2552,30.049,0.0451,8:36:14
9.3155,30.043,0.0451,8:36:18
9.3512,30.049,0.0451,8:36:22
9.2000,30.094,0.0450,9:6:17
9.1979,30.089,0.0450,9:6:21
9.1977,30.091,0.0450,9:6:25
9.1793,30.093,0.0450,9:37:43
9.1770,30.090,0.0450,9:37:47
9.1765,30.088,0.0449,9:37:51
9.2071,30.091,0.0450,10:9:10
9.2071,30.088,0.0450,10:9:14
9.2071,30.089,0.0450,10:9:18
9.1516,30.094,0.0450,10:40:38
9.1493,30.090,0.0450,10:40:42
9.1488,30.087,0.0449,10:40:46
9.1409,30.087,0.0450,11:12:5
9.1410,30.088,0.0450,11:12:9
9.1410,30.089,0.0450,11:12:13
9.1255,30.094,0.0450,11:43:32
9.1254,30.089,0.0450,11:43:36
9.1255,30.087,0.0450,11:43:40
9.1260,30.093,0.0450,12:14:59
9.1256,30.089,0.0450,12:15:3
9.1259,30.089,0.0450,12:15:7
9.1390,30.093,0.0450,12:46:27
9.1394,30.093,0.0449,12:46:31
9.1383,30.090,0.0449,12:46:35
9.1624,30.096,0.0450,13:17:54
9.1637,30.093,0.0450,13:17:58
9.1637,30.095,0.0450,13:18:2
9.1465,30.097,0.0450,13:49:21
9.1471,30.094,0.0450,13:49:25
9.1465,30.089,0.0449,13:49:29
9.1435,30.096,0.0450,14:20:49
9.1435,30.096,0.0450,14:20:53
9.1437,30.096,0.0450,14:20:57
9.1660,30.103,0.0450,14:52:16
9.1699,30.101,0.0450,14:52:20
9.1684,30.098,0.0450,14:52:24
9.1682,30.098,0.0450,14:52:30
9.1674,30.095,0.0450,14:52:34
9.1695,30.100,0.0450,14:52:45
9.1685,30.100,0.0449,14:52:49
9.1687,30.098,0.0450,14:52:53
9.1708,30.093,0.0450,14:52:57
9.1867,28.791,0.0450,14:53:9
9.2299,27.454,0.0450,14:53:14
9.2971,26.269,0.0451,14:53:18
9.3788,24.963,0.0451,14:53:22
9.6406,23.535,0.0452,14:53:26
9.8519,22.039,0.0454,14:53:30
10.1013,20.477,0.0454,14:53:34
10.4420,18.884,0.0455,14:53:38
10.6327,17.288,0.0458,14:53:42
11.7800,15.686,0.0463,14:53:46
12.7407,14.137,0.0469,14:53:50
14.1798,13.070,0.0480,14:53:54
15.2220,12.036,0.0492,14:53:58
16.6677,10.984,0.0506,14:54:2
17.2591,9.925,0.0510,14:54:6
