---  08-22-18 15:37:27 ---

---  08-22-18 15:37:43 ---
 12.7187,  0.00012,   -0.194, 0.0103, 0.0109,   0.0067, 22 Aug 2018 15:37:41
S>
---  08-22-18 15:38:57 ---

---  08-22-18 15:39:09 ---

---  08-22-18 15:41:29 ---

---  08-22-18 15:41:32 ---

---  08-22-18 15:42:50 ---

---  08-22-18 15:43:59 ---

---  08-22-18 15:44:14 ---
S> 11.8161,  3.78000,   17.514, 0.0098, 0.0097,  33.0170, 22 Aug 2018 16:44:00
S> 11.8172,  3.78022,   17.856, 0.0101, 0.0101,  33.0181, 22 Aug 2018 16:44:02
S> 11.8197,  3.78143,   18.192, 0.0105, 0.0110,  33.0275, 22 Aug 2018 16:44:05
S> 11.8218,  3.78202,   18.417, 0.0095, 0.0096,  33.0313, 22 Aug 2018 16:44:07
S> 11.8219,  3.78316,   18.780, 0.0101, 0.0101,  33.0421, 22 Aug 2018 16:44:09
S> 11.8203,  3.78475,   19.151, 0.0092, 0.0097,  33.0588, 22 Aug 2018 16:44:12
S> 11.8144,  3.78551,   19.388, 0.0095, 0.0106,  33.0713, 22 Aug 2018 16:44:14
S> 11.8126,  3.78561,   19.533, 0.0095, 0.0105,  33.0739, 22 Aug 2018 16:44:17
S> 11.7950,  3.78818,   19.939, 0.0100, 0.0106,  33.1144, 22 Aug 2018 16:44:19
S> 11.7758,  3.79142,   20.334, 0.0099, 0.0101,  33.1629, 22 Aug 2018 16:44:21
S> 11.7697,  3.79203,   20.420, 0.0109, 0.0102,  33.1742, 22 Aug 2018 16:44:24
S> 11.7680,  3.79214,   20.600, 0.0096, 0.0117,  33.1768, 22 Aug 2018 16:44:26
S> 11.6422,  3.78897,   21.057, 0.0092, 0.0101,  33.2583, 22 Aug 2018 16:44:28
S> 11.4799,  3.78354,   21.340, 0.0095, 0.0098,  33.3510, 22 Aug 2018 16:44:31
S> 11.4591,  3.78210,   21.396, 0.0096, 0.0101,  33.3555, 22 Aug 2018 16:44:33
S> 11.4465,  3.78045,   21.641, 0.0096, 0.0117,  33.3506, 22 Aug 2018 16:44:35
S> 11.3958,  3.77661,   22.056, 0.0097, 0.0100,  33.3585, 22 Aug 2018 16:44:38
S> 11.3634,  3.77424,   22.281, 0.0100, 0.0095,  33.3643, 22 Aug 2018 16:44:40
S> 11.3365,  3.77223,   22.395, 0.0096, 0.0104,  33.3688, 22 Aug 2018 16:44:42
S> 11.3267,  3.77126,   22.486, 0.0099, 0.0109,  33.3680, 22 Aug 2018 16:44:45
S> 11.2694,  3.76689,   22.923, 0.0102, 0.0100,  33.3766, 22 Aug 2018 16:44:47
S> 11.2137,  3.76352,   23.338, 0.0091, 0.0102,  33.3937, 22 Aug 2018 16:44:50
S> 11.2080,  3.76305,   23.352, 0.0100, 0.0102,  33.3942, 22 Aug 2018 16:44:52
S> 11.2037,  3.76239,   23.472, 0.0111, 0.0113,  33.3915, 22 Aug 2018 16:44:54
S> 11.1440,  3.75872,   23.980, 0.0101, 0.0092,  33.4092, 22 Aug 2018 16:44:57
S> 11.0514,  3.75324,   24.353, 0.0092, 0.0100,  33.4390, 22 Aug 2018 16:44:59
